artist,title,album,recordLabel,sequence,programTitle,episodeTitle,episodeTimestamp
Nat Birchall,The Infinite,,Jazzman Records,0,Gilles Peterson,"Joining The Musical Dots: Questlove, Jimetta Rose & The Voices Of Creation",2022-11-19T15:00:00+00:00
Jimetta Rose & The Voices of Creation,Spirits Up Above,,Night Dreamer,1,Gilles Peterson,"Joining The Musical Dots: Questlove, Jimetta Rose & The Voices Of Creation",2022-11-19T15:00:00+00:00
Synthesis Sound Archive,Reverse Synthesis,,Honest Jon's Records,2,Gilles Peterson,"Joining The Musical Dots: Questlove, Jimetta Rose & The Voices Of Creation",2022-11-19T15:00:00+00:00
Bruise,The Dassy Slide,,Foundation Music,3,Gilles Peterson,"Joining The Musical Dots: Questlove, Jimetta Rose & The Voices Of Creation",2022-11-19T15:00:00+00:00
Malcolm Strachan,Cut To The Chase,,Haggis Records,4,Gilles Peterson,"Joining The Musical Dots: Questlove, Jimetta Rose & The Voices Of Creation",2022-11-19T15:00:00+00:00
Freeson,F.D.P,,Groovie Records,5,Gilles Peterson,"Joining The Musical Dots: Questlove, Jimetta Rose & The Voices Of Creation",2022-11-19T15:00:00+00:00
Roy AyersSonny Sharrock,If I Were A Carpenter,,Columbia Records,6,Gilles Peterson,"Joining The Musical Dots: Questlove, Jimetta Rose & The Voices Of Creation",2022-11-19T15:00:00+00:00
Green LineSonny Sharrock,Melvin,,Nivico,7,Gilles Peterson,"Joining The Musical Dots: Questlove, Jimetta Rose & The Voices Of Creation",2022-11-19T15:00:00+00:00
Ana Ruiz,Naima,,,8,Gilles Peterson,"Joining The Musical Dots: Questlove, Jimetta Rose & The Voices Of Creation",2022-11-19T15:00:00+00:00
Don Cherry,Brown Rice,,EMI,9,Gilles Peterson,"Joining The Musical Dots: Questlove, Jimetta Rose & The Voices Of Creation",2022-11-19T15:00:00+00:00
Don Cherry,A Chi Chi Ou,,Black Sweat Records,10,Gilles Peterson,"Joining The Musical Dots: Questlove, Jimetta Rose & The Voices Of Creation",2022-11-19T15:00:00+00:00
